gene,t_stat,p_value,fdr,mean_ALL,mean_AML,log2FC,cohen_d,abs_cohen_d
TRPC1 Transient receptor potential channel 1,-6.1282878098799864,9.284738924419729e-07,8.709329446340559e-05,331.1276595744681,1778.24,-0.5106894350882947,-1.868905884505283,1.868905884505283
MDU1 Antigen identified by monoclonal antibodies 4F2; TRA1.10; TROP4; and T43,-6.127149482431782,8.211903826246405e-07,8.019542791412414e-05,7845.425531914893,16556.12,-0.8460547945001149,-1.8409713646588395,1.8409713646588395
Spliceosomal Protein Sap 62,-5.977220611662438,1.417640872883735e-06,0.00011413022299890468,593.1063829787234,1399.84,-0.2867297294745467,-1.8225392082620622,1.8225392082620622
Translin,-5.474391464316763,8.45935059741331e-06,0.0003941615059409117,-88.23404255319149,1359.48,-0.5700230979320036,-1.772563629527887,1.772563629527887
Reg-related sequence derived peptide-1,-6.096297359102807,6.424481646349917e-07,6.834574727546144e-05,86.63829787234043,223.4,-0.06107512415442086,-1.76314649156576,1.76314649156576
GNB3 Guanine nucleotide binding protein (G protein); beta polypeptide 3,-4.9044178819193815,5.1701302404790965e-05,0.0015818823383852137,443.0,8605.0,-1.730926368141572,-1.6990131358162135,1.6990131358162135
RBQ-1 mRNA,8.89328098144812,2.958823662327054e-12,2.1093453888729568e-08,4198.851063829788,1112.4,0.7965184834839513,1.679040347744199,1.679040347744199
BCL7 B cell lymphoma protein 7A,-5.016926974059334,3.259588206658254e-05,0.0011171925156378216,641.8510638297872,2225.8,-0.5120132709751307,-1.6683103366653715,1.6683103366653715
Glycerol kinase testis specific 1,-5.111363010516627,2.2169276860765763e-05,0.0008465894832461944,697.4468085106383,3307.6,-0.7584873165562706,-1.6514437524015226,1.6514437524015226
Actin bundling protein mRNA,-4.743037323832494,7.870659647054968e-05,0.0021617175427749422,657.3191489361702,8310.96,-1.6088518890175152,-1.6469619722721047,1.6469619722721047
Description: orf3 gene extracted from region centromeric to t(12;17) brakepoint: orf1/unknown 43 amino acid transcript...orf3/unknown 50 amino acid transcript [human; testis; acampomelic campomelic dysplasia and sex reversal patient; Genomic; 3 genes; 3414 nt],8.829048018193678,6.432665889199003e-12,2.2929237562049846e-08,4255.127659574468,975.44,0.8556003528657419,1.64406957527298,1.64406957527298
MN1 protein (clone ICRFp507I0498),-4.95714065050533,3.745672055167471e-05,0.0012362451889485603,1682.404255319149,6189.0,-0.9613131335838971,-1.6414458068198048,1.6414458068198048
MYO5A Myosin VA (heavy polypeptide 12; myoxin),-5.698259631569779,2.0314243810237266e-06,0.00014198063149331518,52.8936170212766,189.12,-0.06148340730489613,-1.6394387795185958,1.6394387795185958
SMA5 mRNA,-4.933634945055318,3.96049352677227e-05,0.0012775727761248647,1736.404255319149,6475.44,-0.9889604160186458,-1.6312545686723912,1.6312545686723912
HLA-A MHC class I protein HLA-A (HLA-A28;-B40; -Cw3),-4.84469490639754,5.2569678255265724e-05,0.0016015779328281594,766.2765957446809,7790.88,-1.4999045024942956,-1.620849048329466,1.620849048329466
CASR Calcium-sensing receptor (hypocalciuric hypercalcemia 1; severe neonatal hyperparathyroidism),-6.371239270137034,6.463509228358652e-08,1.212588349709706e-05,851.8723404255319,1698.52,-0.28160765955905304,-1.605295083240717,1.605295083240717
IRF2 Interferon regulatory factor 2,-5.373622034307606,6.576663488615816e-06,0.0003255905139607094,195.08510638297872,637.4,-0.18297143214400602,-1.5934840696017463,1.5934840696017463
Lymphotoxin gene extracted from Human tumor necrosis factor and lymphotoxin genes,-5.060527955533777,2.0022404248635786e-05,0.0007969688132922341,628.7021276595744,1698.6,-0.3660223251032948,-1.5581637014380445,1.5581637014380445
Clone CIITA-10 MHC class II transactivator CIITA mRNA,8.443671842789142,4.119695000272852e-11,8.424527620447989e-08,4161.489361702128,411.64,1.0532381920840224,1.5532609943154578,1.5532609943154578
PRSS1 Protease; serine; 1 (trypsin 1),8.119140942662805,4.726905664439887e-11,8.424527620447989e-08,1727.0851063829787,556.44,0.40302240419643887,1.5390780004076137,1.5390780004076137
DEFENDER AGAINST CELL DEATH 1,-5.145188222559686,1.3161667218473573e-05,0.0005552042934940716,64.82978723404256,287.72,-0.09891185864371022,-1.5329746198428045,1.5329746198428045
Integrin; Beta 3 Subunit,-4.39462418985073,0.00019289721498077833,0.003994125214262679,150.61702127659575,2790.2,-0.8624039092834533,-1.5299867798974025,1.5299867798974025
Glutamine PRPP amidotransferase (GPAT) mRNA complete cds,-5.466660229749642,3.1786520077768912e-06,0.00019535008761587463,514.1489361702128,1763.84,-0.4309156592857475,-1.5177554824218977,1.5177554824218977
GBE1 Glucan (1;4-alpha-); branching enzyme 1 (glycogen branching enzyme; Andersen disease; glycogen storage disease type IV),7.869546436695874,8.40660887261785e-11,1.198614293057853e-07,806.4893617021277,165.6,0.26027589227850806,1.5141358858856717,1.5141358858856717
EPLG7 Eph-related receptor tyrosine kinase ligand 7,-5.220517582197127,8.410958203038927e-06,0.0003941615059409117,592.2765957446809,1128.56,-0.19685240755112474,-1.4972450051541786,1.4972450051541786
ADENYLATE CYCLASE; TYPE II,-5.238166635650071,7.66143485046453e-06,0.0003665662352279305,682.1702127659574,1610.2,-0.3183881176731703,-1.4926698180154832,1.4926698180154832
Zinc Finger Protein Znf81 (Gb:X0729),7.232358137934645,4.89088824677216e-10,2.916628811139199e-07,3768.425531914894,1369.24,0.6226681451653184,1.4875550264361803,1.4875550264361803
NF1 Neurofibromin,-4.4940518024401355,0.0001260334285799483,0.0029362493867531097,55.851063829787236,809.0,-0.3108989921931602,-1.4835935033325318,1.4835935033325318
Clone pSK1 interferon gamma receptor accessory factor-1 (AF-1) mRNA,7.433211683380832,2.7082398801984887e-10,2.4133802632418783e-07,290.17021276595744,4.16,0.1281028352314452,1.4803301469740806,1.4803301469740806
Gal beta-1;3 GalNAc alpha-2;3 sialyltransferase (ST3Gal II) mRNA,-4.4833149403591825,0.0001291441955518728,0.002984338375585857,1645.7659574468084,4295.8,-0.6426903969368538,-1.4782870482108745,1.4782870482108745
TK1 Thymidine kinase 1; soluble,-5.609445548123188,1.3511352964526887e-06,0.0001133205120989555,35.42553191489362,184.8,-0.0676502390827413,-1.4780117847418264,1.4780117847418264
SNT1 Syntrophin; alpha (dystrophin-associated protein A1; 59kD; acidic component),7.24127464733412,5.210564265334278e-10,2.916628811139199e-07,3550.531914893617,1071.52,0.676005075786817,1.4634951409163044,1.4634951409163044
TP53 Tumor protein p53 (Li-Fraumeni syndrome),7.993042111796177,2.394580535543265e-10,2.4133802632418783e-07,3936.2340425531916,182.4,1.1057104292950668,1.462927086909989,1.462927086909989
GB DEF = Hair keratin; hHb5,-4.373081550215506,0.00017773693244235264,0.003748776897578497,176.46808510638297,606.16,-0.17901741658081588,-1.4547357832836387,1.4547357832836387
GB DEF = MESI3/15=extracellular matrix induced gene [human; endometrial adenocarcinoma cells HEC1B(L); mRNA Partial; 453 nt],7.725092878078869,2.673149048680781e-10,2.4133802632418783e-07,1463.3191489361702,-401.12,0.763001753330525,1.451704108783757,1.451704108783757
Glucocorticoid Receptor; Beta,-4.3287605797102255,0.000201939474025064,0.004065274176034776,238.0212765957447,1380.56,-0.42734766451694717,-1.4453775237753064,1.4453775237753064
Spasmolytic polypeptide (SP) gene; 5' region and,7.303131152644339,5.318582486296759e-10,2.916628811139199e-07,383.8510638297872,180.2,0.08752062100674463,1.4381105064204256,1.4381105064204256
GB DEF = H2A/k gene,7.303131152644339,5.318582486296759e-10,2.916628811139199e-07,383.8510638297872,180.2,0.08752062100674463,1.4381105064204256,1.4381105064204256
Golgin-245 mRNA,7.303131152644339,5.318582486296759e-10,2.916628811139199e-07,383.8510638297872,180.2,0.08752062100674463,1.4381105064204256,1.4381105064204256
GB DEF = R kappa B mRNA,-4.506130036727614,0.00010612598396015164,0.0025962220343586076,776.1276595744681,2762.16,-0.5998582348198711,-1.42971594998304,1.42971594998304
CB2 (peripheral) cannabinoid receptor gene extracted from H.sapiens mRNA for CB2 (peripheral) cannabinoid receptor,6.51071470540309,1.0693704881938098e-08,2.787830905042231e-06,1406.6170212765958,723.52,0.2385240740799916,1.4249270649699808,1.4249270649699808
FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE,-5.26653628143525,5.012587039620625e-06,0.00027071767428375325,5180.0,8863.2,-0.5321912945062846,-1.4244263362243068,1.4244263362243068
GB DEF = Met-ase gene; exon 1,-4.211684036208788,0.0002832346430769871,0.0052446227805086785,891.1063829787234,3173.96,-0.6557598708017115,-1.4226666969233313,1.4226666969233313
GB DEF = Transcriptional enhancer factor (TEF1) DNA,6.806278977638833,2.818187170372099e-09,1.0574134914517207e-06,6351.446808510638,2608.96,0.7297169072302754,1.420921256389778,1.420921256389778
Hunc18b2,-4.708873131775315,4.8928365778007306e-05,0.0015179735944213265,1012.7234042553191,1786.76,-0.2501249194694296,-1.4184752401697298,1.4184752401697298
Putative MT4-MMP protein,-4.092608017011684,0.00041057262983675187,0.006886993595544009,744.7234042553191,3648.04,-0.8154824872558193,-1.417837063578086,1.417837063578086
Putative G protein-coupled receptor (AZ3B) mRNA,-4.589352398566082,7.44452162306706e-05,0.0020731247910486354,-164.9787234042553,375.64,-0.24575661767231702,-1.409463101845066,1.409463101845066
SP3 Sp3 transcription factor,-4.185922005936279,0.0002991947454360921,0.005441222806668114,190.61702127659575,1057.52,-0.3395735443935875,-1.4077829366380865,1.4077829366380865
TRANSDUCIN-LIKE ENHANCER PROTEIN 1,6.523967252314339,9.441242537178779e-09,2.5887160787518277e-06,80.61702127659575,-141.12,0.1050777190016361,1.4026445980103688,1.4026445980103688
GB DEF = Fusion protein mRNA,6.523967252314339,9.441242537178779e-09,2.5887160787518277e-06,80.61702127659575,-141.12,0.1050777190016361,1.4026445980103688,1.4026445980103688
HLA CLASS II HISTOCOMPATIBILITY ANTIGEN; DQ(2) ALPHA CHAIN PRECURSOR,7.315370867044603,8.502406577709562e-10,4.329546892320819e-07,1188.1702127659576,440.0,0.2783299567833188,1.3977814271146274,1.3977814271146274
Transcriptional repressor (NAB1) NAB1 mRNA,-4.62755369999894,6.084936644883112e-05,0.0017999798066959214,451.9148936170213,1025.04,-0.21717405707464313,-1.3892624455612301,1.3892624455612301
Surface antigen mRNA,6.806524175784983,3.0574146769692514e-09,1.07350767485648e-06,3416.553191489362,1682.44,0.44829724849186064,1.3834614176303013,1.3834614176303013
ETFB Electron-transfer-flavoprotein; beta polypeptide,-4.48819622103807,9.994720218866383e-05,0.0025177512523073655,608.7021276595744,1115.76,-0.1860081212993064,-1.3824828661335427,1.3824828661335427
ADP-ribosylation factor-like protein 4 mRNA,-5.029829182712554,1.1400551645838172e-05,0.0005052622984597465,223.59574468085106,395.76,-0.0733779376949958,-1.3753423595280916,1.3753423595280916
SNF2L1 SNF2 (sucrose nonfermenting; yeast; homolog)-like 1,-4.23540801105734,0.00023465662057827597,0.00448709456369992,724.7659574468086,1568.72,-0.2893014384720429,-1.3694419243125755,1.3694419243125755
PDGFB Platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog),-4.464294699750911,0.00010462865220248363,0.0025899224359427287,531.8297872340426,1110.76,-0.21470294432534867,-1.3673946153199414,1.3673946153199414
EIF4C Eukaryotic translation initiation factor 4C (eIF-4C),-4.510209883746482,8.680036774101456e-05,0.0022955384674453357,1305.531914893617,3219.52,-0.522890179739608,-1.3609045622769833,1.3609045622769833
PAX3 Paired box homeotic gene 3 (Waardenburg syndrome 1){alternative products}],-5.213231331541682,4.726273160316393e-06,0.00026310939015710636,8117.893617021276,14155.68,-0.6223514217261614,-1.3604243137228975,1.3604243137228975
P300/CBP-associated factor (P/CAF) mRNA,-4.13586860074424,0.0003185537336717994,0.005663265753980692,384.9148936170213,1110.44,-0.27457048355603053,-1.3566842970179904,1.3566842970179904
Metallothionein isoform 1R,-3.946995236874606,0.0005833283257915505,0.00872922815182081,298.6170212765957,4610.2,-1.1875467339683552,-1.3562344302443472,1.3562344302443472
Epidermal growth factor receptor kinase substrate (Eps8) mRNA,-4.759517425635449,3.213189169164722e-05,0.0011066099317379374,1053.936170212766,2179.52,-0.34771403227430225,-1.3518840860805708,1.3518840860805708
Tumor-associated 120 kDa nuclear protein p120; partial cds(carboxyl terminus),-4.859669475663998,2.0681381819488347e-05,0.0008145722154206211,23.46808510638298,117.76,-0.04323525450606306,-1.3440314010376746,1.3440314010376746
TSPY Testis specific protein; Y-linked,-4.807431444442211,2.5439370970471967e-05,0.0009252922226964013,1923.2978723404256,3105.36,-0.30619880004552397,-1.3414700567355335,1.3414700567355335
Adp-Ribosylarginine Hydrolase,-4.447752700306727,0.00010250431761351975,0.0025514404276852196,507.3829787234043,1569.96,-0.3746544914283944,-1.3381505798584774,1.3381505798584774
HISTIDYL-TRNA SYNTHETASE,-4.447752700306727,0.00010250431761351975,0.0025514404276852196,507.3829787234043,1569.96,-0.3746544914283944,-1.3381505798584774,1.3381505798584774
Proteasome inhibitor hPI31 subunit,7.351608686993865,2.6660221986466053e-09,1.0558929030084251e-06,3185.2340425531916,81.12,0.9878379320619987,1.3378645942026246,1.3378645942026246
Insulin-Like Growth Factor Ib,7.351608686993865,2.6660221986466053e-09,1.0558929030084251e-06,3185.2340425531916,81.12,0.9878379320619987,1.3378645942026246,1.3378645942026246
UDP-galactose transporter 2,7.351608686993865,2.6660221986466053e-09,1.0558929030084251e-06,3185.2340425531916,81.12,0.9878379320619987,1.3378645942026246,1.3378645942026246
Cerebroside sulfotransferase,7.351608686993865,2.6660221986466053e-09,1.0558929030084251e-06,3185.2340425531916,81.12,0.9878379320619987,1.3378645942026246,1.3378645942026246
GARS Glycyl-tRNA synthetase,-3.98718917236058,0.0004953877684891774,0.007781748364194086,474.7659574468085,1466.0,-0.3551974352831011,-1.3350804034373844,1.3350804034373844
Unknown gene extracted from Human HLA class III region containing NOTCH4 gene; partial sequence; homeobox PBX2 (HPBX) gene; receptor for advanced glycosylation end products (RAGE) gene; and 6 unidentified cds; complete sequence,-3.9381678513644296,0.0005784030847273788,0.008699860893629032,76.59574468085107,410.92,-0.1454130788836788,-1.334814041281836,1.334814041281836
Laminin-related protein (LamA3) mRNA,-5.180056959600731,4.848457555097379e-06,0.00026403042032218483,1665.936170212766,2640.36,-0.26962053283826215,-1.3336362302306293,1.3336362302306293
TYRO3 Receptor protein-tyrosine kinase sky,-4.6132742791272285,5.359363953079005e-05,0.0016189366788771282,227.95744680851064,515.4,-0.12035123951308709,-1.3316981745715735,1.3316981745715735
INTESTINAL MEMBRANE A4 PROTEIN,-3.878620183393305,0.0006813661430501768,0.00979326458428369,334.1276595744681,1841.64,-0.5281403769270804,-1.3214025168808852,1.3214025168808852
Unknown 14kDa protein,6.756517248823993,5.595341048989648e-09,1.6620494307602998e-06,1425.2340425531916,544.36,0.3141874172769592,1.3152741435616928,1.3152741435616928
HYPOTHETICAL MYELOID CELL LINE PROTEIN 6,-3.9421876108488982,0.0005515343835931519,0.008442066900453063,282.1063829787234,708.6,-0.1724928928943064,-1.3149066839333374,1.3149066839333374
GB DEF = Gene encoding plakophilin 1b,-3.857598797032348,0.0007111379675313618,0.010139405141062157,119.82978723404256,808.44,-0.28151605652423883,-1.3076268798437016,1.3076268798437016
GB DEF = Truncated dopamine D3 receptor mRNA,6.884903398222449,5.118168606906447e-09,1.6585192726652755e-06,3903.404255319149,1489.2,0.6124258311928504,1.306436454034654,1.306436454034654
GATA2 GATA-binding protein 2,-4.392766610031751,0.00011341313716255348,0.0026950741827728125,256.468085106383,507.44,-0.10475413992658233,-1.3019947714772206,1.3019947714772206
GB DEF = Unknown protein mRNA; partial cds,6.109374110306102,5.0556086586735806e-08,1.0297552607909702e-05,60.48936170212766,-31.36,0.04287901622772017,1.297870352443832,1.297870352443832
HLA CLASS II HISTOCOMPATIBILITY ANTIGEN; DQ(2) ALPHA CHAIN PRECURSOR,6.512191815996546,1.1784555896883936e-08,2.896968930651227e-06,1300.7659574468084,603.28,0.25044176732745266,1.2963234303629858,1.2963234303629858
ASGR1 Asialoglycoprotein receptor 1,-4.43149680714306,9.594292467870948e-05,0.0024449983285128275,65.95744680851064,164.4,-0.0445082710332101,-1.2944304275677663,1.2944304275677663
Cone transducin alpha subunit gene extracted from H.sapiens gene for cone transducin alpha subunit,-4.627101614757793,4.4462863284665076e-05,0.0014087811215838992,649.2340425531914,985.88,-0.12481655119952155,-1.292775507995398,1.292775507995398
FGFR1 Basic fibroblast growth factor (bFGF) receptor (shorter form),-4.437272760991831,9.293224218095683e-05,0.002391747128187875,174.14893617021278,757.12,-0.23801333367607894,-1.2910978776252553,1.2910978776252553
RNS4 Ribonuclease 4 (2';5'-oligoisoadenylate synthetase-dependent),-4.382146869272665,0.00011382963218229264,0.0026959848765035358,947.7446808510638,1429.92,-0.16328293503815586,-1.289464743702525,1.289464743702525
BMP1 Bone morphogenetic protein 1,5.305768710426037,2.147352570805509e-06,0.000147196889204543,65.82978723404256,-330.32,0.19444152893862332,1.2864761652605574,1.2864761652605574
CYP2C17 Cytochrome P450; subfamily IIC (mephenytoin 4-hydroxylase); polypeptide 17,-4.708852377761796,2.9836099227922063e-05,0.0010325318028925068,860.1063829787234,1787.2,-0.30513671030322254,-1.2752501493878687,1.2752501493878687
Gamma-G2-psi gene extracted from Human gamma-C-crystallin (gamma-3) gene,6.720660547162753,1.0949539253918146e-08,2.787830905042231e-06,1501.6808510638298,595.84,0.31811368904543613,1.2661024466065687,1.2661024466065687
G9 gene encoding sialidase,-3.9348583698986936,0.0005145757363176747,0.008009629747180573,747.063829787234,1440.16,-0.24036731171307157,-1.2650879340963865,1.2650879340963865
FN1 Fibronectin 1,-3.7970688060897664,0.0007974716713697147,0.01071582910534155,364.1063829787234,2775.96,-0.7664667282407075,-1.2627884197432053,1.2627884197432053
GB DEF = M5 muscarinic acetylcholine receptor gene,-3.90489059769223,0.0005593288232400608,0.00850203663300297,54.51063829787234,854.76,-0.32841027608786083,-1.2575078325347269,1.2575078325347269
GB DEF = Leukemia inhibitory factor receptor mRNA; 5' untranslated region,-4.392606491382901,9.927170150015292e-05,0.002511228586040204,297.6595744680851,639.52,-0.13924973201944835,-1.2566823622034375,1.2566823622034375
CLC Charot-Leyden crystal protein,-3.663317241574883,0.0011904374118084178,0.014531897789010633,560.6170212765958,3274.24,-0.804214116945231,-1.2555359015080114,1.2555359015080114
CDH2 Cadherin 2; N-cadherin (neuronal),-3.8953142831369987,0.0005744266693929605,0.008690688252277722,44.787234042553195,280.36,-0.10498746421473977,-1.255104412258993,1.255104412258993
Ribosomal protein S1 homolog mRNA; partial cds,5.690520784867494,3.0049951605504186e-07,3.8950200908298066e-05,257.3191489361702,115.32,0.06280617725488911,1.2541916542984948,1.2541916542984948
Inhibitor of apoptosis protein 1 mRNA,6.36856084981715,2.476842172315194e-08,5.517939952010943e-06,5966.212765957447,1683.8,0.9257749102786478,1.245329995042497,1.245329995042497
Lrp mRNA,6.100313490196805,5.47479645496558e-08,1.0548601061472871e-05,1126.276595744681,543.6,0.2153408492916419,1.243867854025951,1.243867854025951
COL1A2 Collagen; type I; alpha-2,6.100313490196805,5.47479645496558e-08,1.0548601061472871e-05,1126.276595744681,543.6,0.2153408492916419,1.243867854025951,1.243867854025951
CYP2A6 Cytochrome P450; subfamily IIA (phenobarbital-inducible); polypeptide 6,-3.6336613828201982,0.0012778495574282513,0.01513254068921263,815.0212765957447,2192.28,-0.4371831552157288,-1.242762008873827,1.242762008873827
GB DEF = CD171 protein,4.891475689270194,1.180058001241786e-05,0.0005129654567593105,-191.36170212765958,-353.44,0.08342658849017409,1.2407467379961155,1.2407467379961155
APOA1 Apolipoprotein A-I,-4.486791630957408,6.527431685166279e-05,0.0019071336263750164,6882.68085106383,11023.32,-0.5015990266849006,-1.2407312546213642,1.2407312546213642
HKR-T1,-3.989409275743868,0.0004075890260705345,0.006869272262072909,1413.6382978723404,3990.92,-0.6544823565682736,-1.2402201780751658,1.2402201780751658
RPLP1 Ribosomal protein; large; P1,6.501286177027611,2.143401100615299e-08,4.9291311117053115e-06,1010.9574468085107,242.48,0.3005046428273562,1.2359584724472577,1.2359584724472577
26-kDa cell surface protein TAPA-1 mRNA,-4.8660981243856405,1.2869731147069434e-05,0.000546120912782488,199.0,382.96,-0.07884342358753445,-1.2345549635757513,1.2345549635757513
GB DEF = Ltk mRNA,-3.7856536357710584,0.000786383883201347,0.010641514888419478,1486.0212765957447,2582.72,-0.3108025777873802,-1.2337161025904295,1.2337161025904295
C6.1A PROTEIN,-4.230244480717093,0.00017053031909324603,0.003639852229987278,1519.5744680851064,3703.96,-0.5610315455149154,-1.2326667937628233,1.2326667937628233
L-Glycerol-3-Phosphate:Nad+ Oxidoreductase,-3.6446694002162987,0.0012118241546291387,0.014642532878561237,1212.4893617021276,3795.12,-0.6800757372111441,-1.2294896350922038,1.2294896350922038
GB DEF = Cationic amino acid transporter-2B (ATRC2) mRNA; partial cds,-3.618550893218719,0.0013037784048033226,0.015337683577298492,126.36170212765957,396.68,-0.11691320821926819,-1.2253097631104597,1.2253097631104597
An acute myeloid leukaemia protein (1793bp),5.3020803545489565,1.6366198396146433e-06,0.00012281539828013467,290.468085106383,117.24,0.07621479963962703,1.2214035273448671,1.2214035273448671
IFNA gene (interferon alpha-a) extracted from Human leukocyte interferon (leif) alpha-a gene,5.19381753093865,2.707140837300078e-06,0.00017869636138066904,19.80851063829787,-179.24,0.09587607664778859,1.220704025543945,1.220704025543945
GB DEF = mRNA fragment,5.839435658418881,1.5029192488302936e-07,2.435070755661628e-05,118.14893617021276,15.8,0.04698458570279429,1.2197198974732928,1.2197198974732928
P40phox,6.261709477171312,4.039033536470785e-08,8.468902965147125e-06,3567.468085106383,1568.52,0.516407062084371,1.2167648342489783,1.2167648342489783
GLUTATHIONE S-TRANSFERASE; MICROSOMAL,-4.390247208161489,8.822801796605723e-05,0.0022955384674453357,441.8510638297872,718.76,-0.1093142407751894,-1.2161408316032098,1.2161408316032098
Bmx mRNA for cytoplasmic tyrosine kinase,-4.390247208161489,8.822801796605723e-05,0.0022955384674453357,441.8510638297872,718.76,-0.1093142407751894,-1.2161408316032098,1.2161408316032098
DCC Deleted in colorectal carcinoma,-4.390247208161489,8.822801796605723e-05,0.0022955384674453357,441.8510638297872,718.76,-0.1093142407751894,-1.2161408316032098,1.2161408316032098
VIP Vasoactive intestinal peptide,-4.186666603320081,0.00019091708081705558,0.0039680695893434086,169.85106382978722,339.44,-0.07347464497520313,-1.215216251311514,1.215216251311514
Beta-sarcoglycan A3b mRNA,-4.389539215695342,8.745797952106703e-05,0.0022955384674453357,529.7659574468086,839.96,-0.11906027089063469,-1.2125525574255134,1.2125525574255134
GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,-4.225462825794344,0.00016395701105849356,0.0035312674677824792,703.1276595744681,1043.8,-0.12452104806445378,-1.2122159866759026,1.2122159866759026
DNA-DIRECTED RNA POLYMERASE II 23 KD POLYPEPTIDE,6.576726836958198,2.953168457399129e-08,6.379738767514664e-06,381.1914893617021,-51.48,0.19289431411171087,1.2113604060564773,1.2113604060564773
Tryptase-III mRNA; 3' end,-4.093814330343296,0.0002638156841757114,0.004962379980181125,1782.8936170212767,2828.6,-0.28121148356429887,-1.2099128633530847,1.2099128633530847
Guanine Nucleotide-Binding Protein Rap2; Ras-Oncogene Related,4.257504556378584,0.0001437029953806871,0.0032317307699334967,0.2127659574468085,-271.08,0.13319566674798972,1.2082672704981356,1.2082672704981356
GB DEF = CYRN2 gene,5.985228199534332,9.191541589965234e-08,1.680166666534927e-05,244.14893617021278,107.56,0.06060700514149599,1.2050122953242532,1.2050122953242532
Epstein-Barr virus-induced protein mRNA,-4.437545859301359,7.043883108252506e-05,0.002024832366077908,1050.212765957447,1555.68,-0.16671736689166985,-1.2047873407353495,1.2047873407353495
P2Y6 receptor; short splice variant mRNA,-3.7097288502587578,0.0009507064908660451,0.012233910782281653,977.0212765957447,2166.88,-0.3713617766384684,-1.204251454582224,1.204251454582224
DNA ligase III,5.157795054205849,2.9555796304516246e-06,0.00018690723363144618,656.0851063829788,-128.32,0.340401971719943,1.201288402512379,1.201288402512379
PI5 Protease inhibitor 5 (maspin),5.030963644896572,5.241267328899514e-06,0.0002804810588037522,687.1702127659574,242.6,0.18137379784503407,1.1984322504004157,1.1984322504004157
PHB Prohibitin,-3.4980941700966315,0.0017998463926339916,0.01913133780939326,48.1063829787234,580.0,-0.226822489009101,-1.1982431914498557,1.1982431914498557
UNG Uracil-DNA glycosylase,-3.587272366877571,0.0013750287261152128,0.015965113662011976,-151.29787234042553,111.0,-0.1239093212001536,-1.1972789049100607,1.1972789049100607
KIAA0160 gene; partial cds,5.360180473624117,1.13955808109112e-06,9.787842843492282e-05,687.3617021276596,248.68,0.17880646747929463,1.195252406095493,1.195252406095493
GB DEF = 5-lipoxygenase activating protein (FLAP) gene; exon 5,-3.455449976597465,0.0020276533804491903,0.020439069235215893,194.4255319148936,2126.0,-0.6695880348599805,-1.1934877559972463,1.1934877559972463
